title,Directed by,Produced by,Written by,Starring,Music by,Based on,Cinematography,Screenplay by,Edited by,Production company,Production companies,Distributed by,Story by,Narrated by,Release date,Running time,Country,Language,Budget,Box office
He Knows You're Alone,Armand Mastroianni,George Manasse,Scott Parker,"[""Caitlin O'Heaney"", 'Don Scardino', 'Elizabeth Kemp', 'Tom Rolfing']","['Alexander Peskanov', 'Mark Peskanov']",,,,George Norris,Metro-Goldwyn-Mayer,,United Artists,,,"['August29,1980 ( 1980-08-29 )']",94 minutes [1] [2],United States,English,"$250,000 [3]",$4.9 million [3]
Splash,Ron Howard,Brian Grazer,,"['Tom Hanks', 'Daryl Hannah', 'Eugene Levy', 'John Candy']",Lee Holdridge,,Donald Peterman,"['Lowell Ganz', 'Babaloo Mandel', 'Bruce Jay Friedman']","['Daniel P. Hanley', 'Mike Hill']",Touchstone Films,,Buena Vista Distribution,"['Bruce Jay Friedman', 'Brian Grazer']",,"['March9,1984 ( 1984-03-09 )']",111 minutes,United States,English,$11 million [1],$69.8 million [2]
Bachelor Party,Neal Israel,"['Joe Roth', 'Bob Israel', 'Ron Moler', 'Raju Patel']","['Neal Israel', 'Pat Proft']","['Tom Hanks', 'Adrian Zmed', 'William Tepper', 'Tawny Kitaen']",Robert Folk,,Hal Trussell,,Tom Walls,,,20th Century Fox,Bob Israel,,"['June29,1984 ( 1984-06-29 )']",105 minutes,United States,English,$7 million [1],$38.4 million (USA) [1]
The Man with One Red Shoe,Stan Dragoti,Victor Drai,,"['Tom Hanks', 'Dabney Coleman', 'Lori Singer', 'Charles Durning', 'Jim Belushi', 'Carrie Fisher', 'Ed Herrmann']",Thomas Newman,,Richard H. Kline,Robert Klane,"['O. Nicholas Brown', 'Bud Molin']",,,20th Century Fox,"['Francis Veber', 'Yves Robert']",,"['July19,1985 ( 1985-07-19 )']",92 min.,United States,English,$16 million [1],"$8,645,411"
Volunteers,Nicholas Meyer,"['Walter F. Parkes', 'Richard Shepherd']","['Keith F. Critchlow', 'David Isaacs', 'Ken Levine']","['Tom Hanks', 'Rita Wilson', 'Tim Thomerson', 'John Candy']",James Horner,,,,,"['HBO Pictures', 'Silver Screen Partners']",,TriStar Pictures,,,"['August16,1985 ( 1985-08-16 )']",107 minutes,United States,English,$10 million [1],"$19,875,740 [2]"
The Money Pit,Richard Benjamin,"['Kathleen Kennedy', 'Art Levinson', 'Frank Marshall']","['David Giler', ',', 'Lowell Ganz', '&', 'Babaloo Mandel', '(uncredited)']","['Tom Hanks', 'Shelley Long', 'Alexander Godunov', 'Maureen Stapleton']",Michel Colombier,,Gordon Willis,,Jacqueline Cambas,Amblin Entertainment,,Universal Pictures,,,"['March26,1986 ( 1986-03-26 )']",91 minutes,,English,$10 million,$54.9 million
Nothing In Common,Garry Marshall,"['Nick Abdo', 'Alexandra Rose', 'Roger M. Rothstein']","['Rick Podell', 'Michael Preminger']","['Tom Hanks', 'Jackie Gleason', 'Eva Marie Saint', 'Hector Elizondo', 'Barry Corbin', 'Bess Armstrong', 'Sela Ward']",Patrick Leonard,,John A. Alonzo,,Glenn Farr,"['Delphi Films', 'Rastar']",,TriStar Pictures,,,"['July30,1986 ( 1986-07-30 ) (United States)']",118 minutes,United States,English,US$12 million,"$32,324,557"
Every Time We Say Goodbye,Moshé Mizrahi,"['Sharon Harel', 'Jacob Kotzky']","['Moshé Mizrahi', 'Rachel Fabien', 'Leah Appet']","['Tom Hanks', 'Cristina Marsillach', 'Benedict Taylor', 'Anat Atzmon', 'Gila Almagor']",Philippe Sarde,,,,,"['TriStar Pictures', 'Delphi V Productions']",,TriStar Pictures,,,"['November14,1986 ( 1986-11-14 )']",95 minutes,United States,"['English', 'Judezmo']",$3.7 million [1],"$278,623"
Dragnet,Tom Mankiewicz,"['Bernie Brillstein', 'David Permut', 'Robert K. Weiss']",,"['Dan Aykroyd', 'Tom Hanks', 'Christopher Plummer', 'Harry Morgan', 'Alexandra Paul', 'Dabney Coleman']",Ira Newborn,"['Dragnet', 'by', 'Jack Webb']",Matthew F. Leonetti,"['Dan Aykroyd', 'Alan Zweibel', 'Tom Mankiewicz']","['William D. Gordeon', 'Richard Halsey']",,,Universal Pictures,,,"['June26,1987 ( 1987-06-26 )']",106 minutes,United States,English,$20 million [1],$66.7 million [2]
Big,Penny Marshall,"['James L. Brooks', 'Robert Greenhut']","['Gary Ross', 'Anne Spielberg']","['Tom Hanks', 'Elizabeth Perkins', 'Robert Loggia', 'John Heard']",Howard Shore,,Barry Sonnenfeld,,Barry Malkin,Gracie Films,,20th Century Fox,,,"['June3,1988 ( 1988-06-03 )']","104 minutes (Theatrical), 130 minutes (Extended Edition)",United States,English,$18 million [1],$151.7 million [1]
